transaction_id,customer_id,amount,transaction_type,channel,date,meets_minimum,blocked_pos,date_only,min_amt,high_pos,allowed_channel
2,CUST_0180,269.17,Credit,POS,2026-01-01 01:00:00,True,False,2026-01-01,True,True,False
12,CUST_0088,13.32,Debit,Online,2026-01-01 11:00:00,False,False,2026-01-01,False,True,True
19,CUST_0053,45.23,Debit,Online,2026-01-01 18:00:00,False,False,2026-01-01,False,True,True
25,CUST_0192,260.82,Debit,POS,2026-01-02 00:00:00,True,False,2026-01-02,True,True,False
32,CUST_0049,48.91,Debit,POS,2026-01-02 07:00:00,False,False,2026-01-02,False,True,True
34,CUST_0170,21.67,Credit,ATM,2026-01-02 09:00:00,False,False,2026-01-02,False,True,True
40,CUST_0190,113.74,Credit,POS,2026-01-02 15:00:00,True,False,2026-01-02,True,True,False
65,CUST_0172,10.42,Credit,Online,2026-01-03 16:00:00,False,False,2026-01-03,False,True,True
67,CUST_0175,38.35,Debit,ATM,2026-01-03 18:00:00,False,False,2026-01-03,False,True,True
70,CUST_0164,9.62,Credit,POS,2026-01-03 21:00:00,False,False,2026-01-03,False,True,False
71,CUST_0050,12.66,Debit,ATM,2026-01-03 22:00:00,False,False,2026-01-03,False,True,True
80,CUST_0191,244.98,Credit,POS,2026-01-04 07:00:00,True,False,2026-01-04,True,True,False
89,CUST_0200,15.31,Debit,ATM,2026-01-04 16:00:00,False,False,2026-01-04,False,True,True
95,CUST_0024,-4.38,Credit,Online,2026-01-04 22:00:00,False,False,2026-01-04,False,True,True
97,CUST_0188,229.83,Debit,POS,2026-01-05 00:00:00,True,False,2026-01-05,True,True,False
103,CUST_0065,49.23,Credit,POS,2026-01-05 06:00:00,False,False,2026-01-05,False,True,True
134,CUST_0193,154.96,Credit,POS,2026-01-06 13:00:00,True,False,2026-01-06,True,True,False
154,CUST_0151,130.22,Credit,POS,2026-01-07 09:00:00,True,False,2026-01-07,True,True,False
156,CUST_0171,22.55,Credit,Branch,2026-01-07 11:00:00,False,False,2026-01-07,False,True,True
166,CUST_0170,-64.09,Credit,Online,2026-01-07 21:00:00,False,False,2026-01-07,False,True,True
169,CUST_0185,115.94,Credit,POS,2026-01-08 00:00:00,True,False,2026-01-08,True,True,False
176,CUST_0030,19.54,Credit,ATM,2026-01-08 07:00:00,False,False,2026-01-08,False,True,True
181,CUST_0190,198.75,Debit,POS,2026-01-08 12:00:00,True,False,2026-01-08,True,True,False
182,CUST_0129,37.16,Credit,POS,2026-01-08 13:00:00,False,False,2026-01-08,False,True,True
189,CUST_0103,48.4,Credit,POS,2026-01-08 20:00:00,False,False,2026-01-08,False,True,True
217,CUST_0187,102.34,Credit,POS,2026-01-10 00:00:00,True,False,2026-01-10,True,True,False
230,CUST_0198,149.8,Credit,POS,2026-01-10 13:00:00,True,False,2026-01-10,True,True,False
